#Time	 SERVO_1	 SERVO_2	 SERVO_3	 SERVO_4
1399095233375342960	1175	1175	1175	1175
1399095233386389202	1175	1175	1175	1175
1399095233399424296	1175	1175	1175	1175
1399095233437369010	1175	1175	1175	1175
1399095233539308101	1175	1175	1175	1175
1399095233549244049	1175	1175	1175	1175
1399095233584306692	1175	1175	1175	1175
1399095233640325427	1175	1175	1175	1175
1399095233694352004	1175	1175	1175	1175
1399095233704264115	1175	1175	1175	1175
1399095233719191388	1175	1175	1175	1175
1399095233826133858	1175	1175	1175	1175
1399095233836169620	1175	1175	1175	1175
1399095233852134858	1175	1175	1175	1175
1399095233898157062	1175	1175	1175	1175
1399095233954941163	1175	1175	1175	1175
1399095234009970706	1175	1175	1175	1175
1399095234045921762	1175	1175	1175	1175
1399095234059788648	1175	1175	1175	1175
1399095234108881134	1175	1175	1175	1175
1399095234169826971	1175	1175	1175	1175
1399095234179784952	1175	1175	1175	1175
1399095234242803265	1175	1175	1175	1175
1399095234252681913	1175	1175	1175	1175
1399095234318710271	1175	1175	1175	1175
1399095234334668107	1175	1175	1175	1175
1399095234377752393	1175	1175	1175	1175
1399095234430647037	1175	1175	1175	1175
1399095234463642833	1175	1175	1175	1175
1399095234482571536	1175	1175	1175	1175
1399095234532500474	1175	1175	1175	1175
1399095234586590077	1175	1175	1175	1175
1399095234635573257	1175	1175	1175	1175
1399095234723370194	1175	1175	1175	1175
1399095234734422979	1175	1175	1175	1175
1399095234744444788	1175	1175	1175	1175
1399095234796405825	1175	1175	1175	1175
1399095234850370146	1175	1175	1175	1175
1399095234860368469	1175	1175	1175	1175
1399095234904404611	1175	1175	1175	1175
1399095234920269412	1175	1175	1175	1175
1399095235011261549	1175	1175	1175	1175
1399095235021178740	1175	1175	1175	1175
1399095235054188487	1175	1175	1175	1175
1399095235144179063	1175	1175	1175	1175
1399095235155055181	1175	1175	1175	1175
1399095235221022181	1175	1175	1175	1175
1399095235232090245	1175	1175	1175	1175
1399095235251002311	1175	1175	1175	1175
1399095235332979431	1175	1175	1175	1175
1399095235369889778	1175	1175	1175	1175
1399095235395907015	1175	1175	1175	1175
1399095235430952370	1175	1175	1175	1175
1399095235452966181	1175	1175	1175	1175
1399095235539892238	1175	1175	1175	1175
1399095235574838604	1175	1175	1175	1175
1399095235585773855	1175	1175	1175	1175
1399095235638826534	1175	1175	1175	1175
1399095235692759953	1175	1175	1175	1175
1399095235702701376	1175	1175	1175	1175
1399095235742762178	1175	1175	1175	1175
1399095235824672819	1175	1175	1175	1175
1399095235834726211	1175	1175	1175	1175
1399095235847588886	1175	1175	1175	1175
1399095235896703484	1175	1175	1175	1175
1399095235956646573	1175	1175	1175	1175
1399095236002638790	1175	1175	1175	1175
1399095236063529718	1175	1175	1175	1175
1399095236073548306	1175	1175	1175	1175
1399095236098638867	1175	1175	1175	1175
1399095236170569725	1175	1175	1175	1175
1399095236181425066	1175	1175	1175	1175
1399095236232414188	1175	1175	1175	1175
1399095236249313076	1175	1175	1175	1175
1399095236319304643	1175	1175	1175	1175
1399095236336302940	1175	1175	1175	1175
1399095236378278616	1175	1175	1175	1175
1399095236458288585	1175	1175	1175	1175
1399095236468236454	1175	1175	1175	1175
1399095236535216061	1175	1175	1175	1175
1399095236545150926	1175	1175	1175	1175
1399095236560198136	1175	1175	1175	1175
1399095236600154950	1175	1175	1175	1175
1399095236663130775	1175	1175	1175	1175
1399095236690093017	1175	1175	1175	1175
1399095236739000678	1175	1175	1175	1175
1399095236795048452	1175	1175	1175	1175
1399095236851071781	1175	1175	1175	1175
1399095236885117215	1175	1175	1175	1175
1399095236902963660	1175	1175	1175	1175
1399095236918947830	1175	1175	1175	1175
1399095237009842141	1175	1175	1175	1175
1399095237019856594	1175	1175	1175	1175
1399095237052822526	1175	1175	1175	1175
1399095237142773757	1175	1175	1175	1175
1399095237152763152	1175	1175	1175	1175
1399095237219650011	1175	1175	1175	1175
1399095237229760514	1175	1175	1175	1175
1399095237249625233	1175	1175	1175	1175
1399095237394593926	1175	1175	1175	1175
1399095237408583184	1175	1175	1175	1175
1399095237418524235	1175	1175	1175	1175
1399095237428521672	1175	1175	1175	1175
1399095237485662882	1175	1175	1175	1175
1399095237497144528	1175	1175	1175	1175
