#Time 	 Pos.X 	 Pos.Y 	 Pos.Z 	 Quat.X 	 Quat.Y 	 Quat.Z 	 Quat.W
12762928084000	0.731128	0.75188	0.124519	0.00804908	0.00193884	0.0150236	0.999853
12762936435000	0.731142	0.751865	0.1245	0.00821059	0.00187511	0.0150595	0.999851
12762944686000	0.731137	0.751867	0.124497	0.0077135	0.00173001	0.0149183	0.999857
12762952992000	0.731129	0.751875	0.124544	0.00797388	0.00136376	0.0149204	0.999856
12762961372000	0.73115	0.751856	0.124483	0.00812747	0.00158158	0.014962	0.999854
12762969766000	0.731137	0.75187	0.124512	0.00849807	0.00184414	0.0150635	0.999849
12762977984000	0.731138	0.751867	0.124469	0.00786471	0.00206256	0.0150104	0.999854
12762986321000	0.731128	0.751866	0.124495	0.00782207	0.00185669	0.0149519	0.999856
12762994704000	0.731128	0.751861	0.12453	0.00768528	0.00116932	0.0149839	0.999858
12763002974000	0.731132	0.751856	0.124486	0.00823831	0.00158655	0.0149653	0.999853
12763011344000	0.731135	0.751864	0.12449	0.00774119	0.00190186	0.0149204	0.999857
12763019698000	0.731145	0.751857	0.12444	0.00757098	0.00157048	0.0149445	0.999858
12763027994000	0.731133	0.751868	0.124497	0.00802313	0.00140742	0.0150058	0.999854
12763036341000	0.731127	0.751874	0.124518	0.00807878	0.00192863	0.0149825	0.999853
12763053014000	0.731137	0.751861	0.12447	0.00835191	0.00154631	0.0150025	0.999851
12763061337000	0.731138	0.751865	0.124486	0.00770117	0.0021337	0.0149123	0.999857
12763069667000	0.731135	0.751874	0.124486	0.00830552	0.00153924	0.0149926	0.999852
12763086369000	0.731139	0.751862	0.124469	0.00785327	0.00140095	0.0149306	0.999857
12763094698000	0.73113	0.751872	0.124532	0.0084152	0.00148963	0.0149376	0.999852
12763111317000	0.731144	0.751858	0.124494	0.00825335	0.0012593	0.014926	0.999854
12763119738000	0.731135	0.751869	0.12452	0.00756628	0.00141965	0.0148277	0.99986
12763128048000	0.731137	0.751861	0.124524	0.00736352	0.0013376	0.0148671	0.999861
12763136350000	0.731147	0.751864	0.124513	0.00792649	0.00173093	0.014944	0.999855
12763144730000	0.731141	0.751873	0.124503	0.00784272	0.0011801	0.0150259	0.999856
12763153039000	0.731155	0.75186	0.124455	0.00787543	0.00172487	0.0149525	0.999856
12763161367000	0.731134	0.751858	0.124522	0.00793301	0.00164768	0.0149118	0.999856
12763169627000	0.731155	0.751852	0.124453	0.00721073	0.00178461	0.01486	0.999862
12763178029000	0.731137	0.751861	0.124586	0.00792401	0.00196765	0.014846	0.999856
12763186338000	0.73115	0.751867	0.12457	0.00787047	0.00146882	0.0149756	0.999856
12763194712000	0.731158	0.751863	0.124561	0.0076535	0.00130643	0.0150194	0.999857
12763203055000	0.731162	0.751882	0.124585	0.00813474	0.00133104	0.0150506	0.999853
12763219670000	0.73116	0.751873	0.124591	0.00789005	0.00154357	0.014945	0.999856
12763228042000	0.731127	0.751876	0.124666	0.00798877	0.00175812	0.0149997	0.999854
12763236322000	0.73113	0.751868	0.124681	0.00768907	0.00159585	0.0148819	0.999858
12763244674000	0.731119	0.751866	0.12471	0.007919	0.00194577	0.0150577	0.999853
12763252976000	0.731149	0.751873	0.124733	0.00732868	0.0013122	0.0150108	0.99986
12763261333000	0.731154	0.751884	0.124763	0.00768203	0.00141307	0.0151096	0.999855
12763269693000	0.731156	0.751879	0.124785	0.00806682	0.00134044	0.0150075	0.999854
12763278000000	0.731151	0.751881	0.12478	0.00782161	0.00186161	0.0148084	0.999858
12763286320000	0.731164	0.751894	0.124881	0.00772828	0.00150107	0.0147309	0.999861
12763302990000	0.731212	0.751912	0.125008	0.007427	0.00159353	0.0148931	0.99986
12763311346000	0.731221	0.751911	0.125087	0.0073676	0.00136212	0.0150394	0.999859
12763319630000	0.731237	0.751922	0.125176	0.00703718	0.00189046	0.0151325	0.999859
12763336314000	0.731214	0.751926	0.125399	0.00761564	0.00109998	0.0150956	0.999857
12763353011000	0.731183	0.751931	0.125604	0.00738137	0.00160402	0.0148784	0.999861
12763361350000	0.73119	0.751941	0.125697	0.00808425	0.00162708	0.0149904	0.999854
12763369645000	0.731189	0.751934	0.125821	0.00659484	0.00146424	0.0150403	0.999864
12763378016000	0.731152	0.751923	0.125916	0.00746019	0.000444865	0.0151212	0.999858
12763386341000	0.731198	0.751893	0.12595	0.00735466	0.00114505	0.0152435	0.999856
12763394703000	0.731178	0.751892	0.126077	0.00745484	0.00101095	0.0152024	0.999856
12763403023000	0.731189	0.751892	0.126199	0.00705891	0.000934638	0.0150492	0.999861
12763411363000	0.731145	0.751872	0.12631	0.00726534	0.00130287	0.0151355	0.999858
12763419695000	0.731152	0.751893	0.126381	0.00708382	0.00101855	0.0150257	0.999861
12763428061000	0.731102	0.75188	0.126481	0.0074504	0.000668443	0.0151545	0.999857
12763436364000	0.731092	0.75188	0.126569	0.00698879	0.00159408	0.0151811	0.999859
12763444663000	0.731071	0.751866	0.126609	0.00695317	0.000643053	0.0153615	0.999858
12763452974000	0.731045	0.751848	0.1267	0.00719862	0.00140403	0.0153309	0.999856
12763461370000	0.731037	0.751831	0.126763	0.00715472	0.00163058	0.0154901	0.999853
12763469667000	0.731006	0.751802	0.126844	0.00711534	0.00126752	0.0153031	0.999857
12763478088000	0.730984	0.751804	0.126971	0.00706871	0.00149142	0.0153187	0.999857
12763486358000	0.730999	0.75177	0.126937	0.00747305	0.0010311	0.0152717	0.999855
12763503014000	0.730956	0.75178	0.127149	0.00729496	0.0010788	0.015242	0.999857
12763511363000	0.730982	0.7518	0.127229	0.0064049	0.00115214	0.0154616	0.999859
12763519659000	0.730952	0.751754	0.127331	0.00667731	0.000945596	0.0153841	0.999859
12763528040000	0.730955	0.751737	0.127405	0.00701556	0.00126449	0.0156471	0.999852
12763536370000	0.730914	0.751685	0.127551	0.00795327	0.00127036	0.0155054	0.999847
12763552983000	0.730843	0.751592	0.127729	0.0075241	0.000900546	0.015546	0.99985
12763561329000	0.730798	0.751564	0.127824	0.00754937	0.000746262	0.0156117	0.999849
12763569643000	0.730754	0.751537	0.127925	0.00810135	0.000468095	0.015488	0.999847
12763586359000	0.730696	0.751545	0.128185	0.00763211	0.000759793	0.0155398	0.99985
12763602976000	0.730682	0.751539	0.128391	0.00710509	0.00123686	0.0155916	0.999852
12763611324000	0.73067	0.751511	0.128587	0.00765602	0.000315348	0.015682	0.999848
12763619674000	0.730687	0.751543	0.128682	0.00707461	0.000502637	0.0157227	0.999851
12763636310000	0.730647	0.751484	0.129087	0.00762364	0.000124664	0.0157353	0.999847
12763652997000	0.730549	0.751345	0.12953	0.00809837	0.000380317	0.0155611	0.999846
12763661340000	0.730483	0.751269	0.129864	0.00823197	-6.10058e-05	0.0155938	0.999845
12763669633000	0.730374	0.751137	0.130235	0.00866967	-0.00144751	0.0156437	0.999839
12763677997000	0.73027	0.751058	0.130625	0.00895455	-0.00174372	0.0156847	0.999835
12763686340000	0.730097	0.750866	0.131126	0.00988768	-0.00204144	0.0155595	0.999828
12763694685000	0.729908	0.750776	0.131672	0.0100522	-0.00269975	0.0156229	0.999824
12763703007000	0.72971	0.750656	0.132358	0.0109582	-0.00358754	0.0156426	0.999811
12763711374000	0.729502	0.750557	0.133013	0.0107948	-0.00392165	0.015603	0.999812
