#Time	 Roll 	 Pitch 	 Yaw 	 Thrust
1399090796625411831	1520	1516	1926	1105
1399090796725602059	1520	1516	1926	1105
1399090796825808001	1520	1516	1513	1105
1399090809941883216	1509	1527	1514	1378
1399090809951788585	1509	1526	1514	1378
1399090809971870413	1508	1527	1514	1378
1399090809976796499	1508	1526	1514	1378
1399090809981790729	1507	1527	1514	1378
1399090809991803365	1508	1527	1514	1378
1399090810001817883	1507	1526	1514	1378
1399090810006805635	1508	1526	1514	1378
1399090810016810358	1508	1527	1514	1379
1399090810026861633	1508	1526	1514	1378
1399090810031853076	1508	1527	1514	1378
1399090810051802899	1508	1526	1514	1378
1399090810061888973	1508	1527	1514	1378
1399090810076968606	1508	1527	1514	1378
1399090810081846161	1508	1527	1514	1378
1399090810096852630	1508	1526	1514	1378
1399090810111938065	1508	1526	1514	1378
1399090810116898387	1508	1526	1514	1378
1399090810126764363	1508	1526	1514	1378
1399090810141823783	1508	1526	1514	1378
1399090810151831601	1509	1526	1514	1378
1399090810156861390	1508	1526	1514	1378
1399090810166903430	1508	1527	1514	1378
1399090810176826090	1508	1527	1514	1378
1399090810181878924	1508	1526	1514	1378
1399090810191896524	1508	1526	1514	1378
1399090810211981937	1508	1527	1514	1378
1399090810216887818	1508	1527	1514	1378
1399090810226915054	1509	1527	1514	1378
1399090810231845069	1508	1526	1514	1378
1399090810241881491	1509	1526	1514	1378
1399090810251814855	1508	1526	1514	1378
1399090810261789550	1508	1527	1514	1378
1399090810266737418	1509	1525	1514	1378
1399090810276794620	1508	1527	1514	1379
1399090810281790134	1509	1527	1514	1378
1399090810291909418	1508	1527	1514	1378
1399090810301857449	1509	1527	1514	1378
1399090810311790948	1509	1526	1514	1378
1399090810316834642	1508	1527	1514	1378
1399090810331851676	1509	1527	1514	1378
1399090810341857313	1509	1526	1514	1378
1399090810361800594	1509	1527	1514	1378
1399090810366844604	1509	1527	1514	1378
1399090810376879367	1508	1526	1514	1378
1399090810391845484	1508	1526	1514	1378
1399090810411838407	1508	1526	1514	1378
1399090810416821931	1509	1525	1514	1377
1399090810431875977	1508	1526	1514	1378
1399090810442090318	1508	1526	1514	1434
1399090810452117238	1508	1526	1514	1427
1399090810462135124	1509	1526	1514	1427
1399090810467092978	1508	1526	1514	1427
1399090810477064093	1508	1526	1514	1428
1399090810487055683	1508	1526	1514	1427
1399090810492038197	1507	1526	1514	1427
1399090810502107104	1508	1526	1514	1428
1399090810512116538	1508	1526	1514	1428
1399090810517076085	1508	1526	1514	1428
