#Time 	 Pos.X 	 Pos.Y 	 Pos.Z 	 Quat.X 	 Quat.Y 	 Quat.Z 	 Quat.W
1399411404399660068	0.754061	0.870901	0.13203	0.00623241	0.000591172	-0.0096584	0.999934
1399411404416288068	0.754062	0.8709	0.132045	0.00636881	0.000199745	-0.00961472	0.999933
1399411404432971068	0.75407	0.870891	0.132037	0.00692264	0.000151259	-0.00956763	0.99993
1399411404457976068	0.754062	0.870893	0.132086	0.0067853	0.000607341	-0.00965218	0.99993
1399411404483009068	0.754074	0.870893	0.132047	0.00663881	0.000127348	-0.00964909	0.999931
1399411404499641068	0.754071	0.870884	0.132011	0.00629519	0.000799203	-0.00947269	0.999935
1399411404516361068	0.754068	0.870888	0.132036	0.00660079	0.000647414	-0.0093326	0.999934
1399411404533026068	0.754081	0.870888	0.132001	0.00627245	0.000262867	-0.009358	0.999937
1399411404549667068	0.754089	0.870913	0.132041	0.00620415	0.000179214	-0.00947827	0.999936
1399411404566357068	0.754107	0.870936	0.132118	0.00623981	0.000694447	-0.00961208	0.999934
1399411404583001068	0.754157	0.87098	0.132139	0.00603158	0.000166685	-0.00943121	0.999937
1399411404599625068	0.754192	0.871016	0.132186	0.00517875	0.000875541	-0.0094273	0.999942
1399411404616333068	0.754207	0.871026	0.132264	0.00572745	0.000735656	-0.00951275	0.999938
1399411404632989068	0.754224	0.87104	0.132356	0.00511226	0.000734345	-0.00962039	0.99994
1399411404649604068	0.754263	0.871071	0.132417	0.00526397	0.000724453	-0.00936309	0.999942
1399411404666311068	0.754302	0.871122	0.132497	0.0048264	0.00142999	-0.00955962	0.999942
1399411404691318068	0.75434	0.871165	0.132615	0.00468429	0.00143104	-0.00956914	0.999942
1399411404707941068	0.75439	0.871185	0.132632	0.00456265	0.00180456	-0.00976463	0.99994
1399411404724634068	0.754431	0.871198	0.132742	0.00448328	0.00172364	-0.00993505	0.999939
1399411404757967068	0.754341	0.871227	0.133077	0.00507734	0.00172405	-0.00948039	0.999941
1399411404774651068	0.754273	0.871182	0.133266	0.00458455	0.00180497	-0.0096133	0.999942
1399411404799676068	0.754193	0.871184	0.133462	0.00496467	0.00195303	-0.00980865	0.999938
1399411404841320068	0.754087	0.871246	0.133835	0.0050675	0.00136684	-0.00964487	0.99994
1399411404857960068	0.754014	0.871184	0.134011	0.00518603	0.000936266	-0.00971208	0.999939
1399411404874624068	0.753882	0.871142	0.134168	0.00514313	0.0013297	-0.00981701	0.999938
1399411404891270068	0.753771	0.871132	0.134342	0.00468948	0.000622251	-0.00967321	0.999942
1399411404907930068	0.753686	0.871106	0.134428	0.00526112	0.000252967	-0.00948713	0.999941
1399411404941273068	0.753551	0.87105	0.134635	0.00498826	0.000156362	-0.00973627	0.99994
1399411404974635068	0.753465	0.871038	0.134875	0.00507326	-0.000493582	-0.00951931	0.999942
1399411404999613068	0.753351	0.87103	0.135143	0.00491402	-0.000654238	-0.00976666	0.99994
1399411405024624068	0.753181	0.87102	0.135317	0.0049245	-0.00127943	-0.0097659	0.999939
1399411405041296068	0.753014	0.871017	0.135469	0.00564039	-0.000766206	-0.00972151	0.999937
1399411405057946068	0.75293	0.871025	0.135623	0.00566553	-0.00132504	-0.00963751	0.999937
1399411405074647068	0.752915	0.871052	0.135755	0.00532691	-0.000934607	-0.00965945	0.999939
1399411405091336068	0.752932	0.871102	0.135996	0.00446628	-0.00154849	-0.00973101	0.999942
1399411405107965068	0.752901	0.871157	0.1363	0.00491915	-0.000982396	-0.00965982	0.999941
1399411405124674068	0.752777	0.871187	0.136704	0.00430211	-0.00185322	-0.00974764	0.999942
1399411405141281068	0.752583	0.871162	0.137226	0.00457395	-0.00267588	-0.00998226	0.999936
1399411405166294068	0.752014	0.871046	0.138337	0.0045862	-0.00549111	-0.00992972	0.999925
1399411405191290068	0.751203	0.870716	0.139991	0.00680351	-0.00792756	-0.0100201	0.999895
1399411405216348068	0.750127	0.870375	0.142011	0.0060668	-0.0117517	-0.0107211	0.999855
1399411405232959068	0.749371	0.870115	0.143628	0.00778052	-0.0153139	-0.010931	0.999793
1399411405258000068	0.748141	0.869624	0.146518	0.0097127	-0.0170512	-0.01144	0.999742
1399411405274673068	0.747241	0.869291	0.14889	0.0109914	-0.0194007	-0.0119068	0.99968
1399411405307984068	0.74537	0.868352	0.154727	0.0121611	-0.0217404	-0.0126766	0.999609
1399411405324690068	0.744441	0.867819	0.157967	0.0137091	-0.0221155	-0.0134376	0.999571
1399411405341307068	0.743353	0.867308	0.161685	0.0132215	-0.0240579	-0.0135509	0.999531
1399411405358026068	0.742205	0.866721	0.16571	0.011507	-0.0256173	-0.0140278	0.999507
1399411405382969068	0.740461	0.865889	0.17171	0.0107524	-0.0250361	-0.0149123	0.999517
1399411405399667068	0.739074	0.865236	0.176314	0.0115843	-0.0256618	-0.014807	0.999494
1399411405416290068	0.737727	0.864607	0.180888	0.00778563	-0.0275497	-0.0157682	0.999466
1399411405432991068	0.736321	0.863924	0.185653	0.00763678	-0.0260305	-0.0158422	0.999506
1399411405449645068	0.734864	0.863261	0.190516	0.00615163	-0.0261159	-0.0163717	0.999506
1399411405466288068	0.733391	0.862458	0.195683	0.00510652	-0.0240727	-0.0165257	0.999561
1399411405482981068	0.731863	0.861698	0.200924	0.00208616	-0.0234392	-0.0167991	0.999582
1399411405499635068	0.730228	0.860953	0.206489	0.0010503	-0.0199164	-0.0165911	0.999663
1399411405516305068	0.728576	0.860123	0.21199	0.0015948	-0.0172285	-0.0170893	0.999704
1399411405532993068	0.726796	0.859298	0.217812	0.000993611	-0.0154626	-0.017083	0.999734
1399411405549632068	0.725101	0.858455	0.223585	-0.000421725	-0.0144975	-0.0172406	0.999746
1399411405566323068	0.72328	0.857613	0.229321	0.000546027	-0.0116418	-0.0173944	0.999781
1399411405582980068	0.721392	0.85678	0.235207	-0.0011272	-0.0106419	-0.01749	0.99979
1399411405599714068	0.719495	0.856088	0.241323	-0.000666904	-0.00923169	-0.0171829	0.99981
1399411405616347068	0.717352	0.85526	0.247745	-0.00161405	-0.0118709	-0.0173335	0.999778
1399411405633041068	0.715272	0.854505	0.254086	-0.00185671	-0.0102619	-0.0179069	0.999785
1399411405649642068	0.713107	0.853801	0.26039	0.000650793	-0.012087	-0.0176545	0.999771
1399411405674632068	0.709628	0.852682	0.269872	8.86183e-06	-0.0145022	-0.0177423	0.999737
1399411405691340068	0.707345	0.851907	0.276279	-0.00106216	-0.0151137	-0.0181218	0.999721
1399411405707994068	0.704953	0.851127	0.28271	0.00239675	-0.01853	-0.0180234	0.999663
1399411405724689068	0.702699	0.850468	0.288844	0.00297311	-0.0188123	-0.0186816	0.999644
