#Time	 Roll 	 Pitch 	 Yaw
1399575959057892161	-0.0617356	-0.0117225	0.431387
1399575959075033207	-0.0617285	-0.0117424	0.431388
1399575959092005382	-0.0617357	-0.0117238	0.4314
1399575959214991496	-0.0617282	-0.0117309	0.431409
1399575959231893136	-0.0617362	-0.011753	0.4314
1399575959274762193	-0.0617054	-0.0117622	0.431361
1399575959296756927	-0.0616993	-0.0117721	0.431344
1399575959313709284	-0.0616915	-0.0117751	0.431326
1399575959370759304	-0.0616929	-0.0117871	0.431369
1399575959388690809	-0.0616998	-0.0117739	0.431383
1399575959404686695	-0.0617022	-0.0117628	0.431421
1399575959455703224	-0.0616785	-0.0117607	0.431463
1399575959534679631	-0.0616764	-0.0117422	0.431497
1399575959551616437	-0.0616711	-0.0117375	0.431536
1399575959574687078	-0.0616679	-0.0117373	0.431555
1399575959644749024	-0.0616668	-0.0117485	0.431575
1399575959691678216	-0.0616821	-0.011765	0.431574
1399575959714672881	-0.0616999	-0.0117681	0.43161
1399575959730694507	-0.0617127	-0.0117682	0.431649
1399575959845642074	-0.0617146	-0.0117809	0.431691
1399575959862541222	-0.0617011	-0.0117851	0.43173
1399575959878624261	-0.0617102	-0.011811	0.431758
1399575959972538646	-0.0617255	-0.0118123	0.431766
1399575959988532418	-0.0617393	-0.0118223	0.431798
1399575960005420128	-0.0617483	-0.0118071	0.431793
1399575960022474234	-0.0617489	-0.011827	0.431834
1399575960056481948	-0.0617462	-0.0118537	0.431842
1399575960132540960	-0.0617455	-0.0118478	0.431815
1399575960148510997	-0.0617492	-0.0118209	0.431787
1399575960211553528	-0.0617616	-0.0118292	0.431771
1399575960229586215	-0.0617533	-0.0118202	0.431746
1399575960245587541	-0.0617378	-0.0118225	0.431722
1399575960371448652	-0.061756	-0.0118343	0.431725
1399575960411446972	-0.0617596	-0.0118203	0.431725
1399575960481456382	-0.0617515	-0.0118204	0.43168
1399575960498448207	-0.0617393	-0.011808	0.431631
1399575960514402898	-0.0617352	-0.0118108	0.43161
1399575960564374066	-0.0617268	-0.0118164	0.431586
1399575960592253731	-0.0617382	-0.0118178	0.431576
1399575960624299373	-0.0617279	-0.0118335	0.431608
1399575960699177679	-0.0617169	-0.0118478	0.43161
1399575960716190074	-0.0617035	-0.0118485	0.431623
1399575960767148671	-0.0617268	-0.0118526	0.431639
1399575960814172798	-0.0617202	-0.0118793	0.431658
1399575960830094097	-0.0617411	-0.0118853	0.431692
1399575960871230942	-0.0617457	-0.0119098	0.431681
1399575960907260494	-0.0617511	-0.011899	0.431705
1399575960970281501	-0.061795	-0.0119033	0.431717
1399575961013337804	-0.0617923	-0.0119216	0.431743
1399575961030221704	-0.0617973	-0.0119475	0.431756
1399575961083186306	-0.0617808	-0.0119409	0.431781
1399575961100221777	-0.0617821	-0.011949	0.431821
1399575961125267530	-0.0617814	-0.0119613	0.431872
1399575961186166710	-0.061797	-0.0119907	0.431913
