#Time	 SERVO_1	 SERVO_2	 SERVO_3	 SERVO_4
1399575959063027351	1105	1105	1105	1105
1399575959079989547	1105	1105	1105	1105
1399575959158063305	1105	1105	1105	1105
1399575959219975872	1105	1105	1105	1105
1399575959260791536	1105	1105	1105	1105
1399575959285790865	1105	1105	1105	1105
1399575959301742039	1105	1105	1105	1105
1399575959375700456	1105	1105	1105	1105
1399575959393712264	1105	1105	1105	1105
1399575959443747518	1105	1105	1105	1105
1399575959469703745	1105	1105	1105	1105
1399575959539685072	1105	1105	1105	1105
1399575959559597934	1105	1105	1105	1105
1399575959633841214	1105	1105	1105	1105
1399575959673745241	1105	1105	1105	1105
1399575959702667936	1105	1105	1105	1105
1399575959719737558	1105	1105	1105	1105
1399575959788639070	1105	1105	1105	1105
1399575959850549820	1105	1105	1105	1105
1399575959867559031	1105	1105	1105	1105
1399575959960590970	1105	1105	1105	1105
1399575959977561122	1105	1105	1105	1105
1399575959993441943	1105	1105	1105	1105
1399575960010657857	1105	1105	1105	1105
1399575960031548016	1105	1105	1105	1105
1399575960117469979	1105	1105	1105	1105
1399575960137503570	1105	1105	1105	1105
1399575960154507606	1105	1105	1105	1105
1399575960216558247	1105	1105	1105	1105
1399575960234568505	1105	1105	1105	1105
1399575960313578537	1105	1105	1105	1105
1399575960399481012	1105	1105	1105	1105
1399575960416458570	1105	1105	1105	1105
1399575960486450334	1105	1105	1105	1105
1399575960503408178	1105	1105	1105	1105
1399575960553391554	1105	1105	1105	1105
1399575960580269594	1105	1105	1105	1105
1399575960612350948	1105	1105	1105	1105
1399575960688366265	1105	1105	1105	1105
1399575960704174009	1105	1105	1105	1105
1399575960721113302	1105	1105	1105	1105
1399575960802095109	1105	1105	1105	1105
1399575960819129690	1105	1105	1105	1105
1399575960860290803	1105	1105	1105	1105
1399575960896289588	1105	1105	1105	1105
1399575960921268354	1105	1105	1105	1105
1399575961002254790	1105	1105	1105	1105
1399575961018392492	1105	1105	1105	1105
1399575961072217174	1105	1105	1105	1105
1399575961088288716	1105	1105	1105	1105
1399575961109209011	1105	1105	1105	1105
1399575961175192397	1105	1105	1105	1105
1399575961223059355	1105	1105	1105	1105
1399575961239124630	1105	1105	1105	1105
1399575961281104668	1105	1105	1105	1105
1399575961386097387	1105	1105	1105	1105
1399575961403059307	1105	1105	1105	1105
