#Time	 Roll 	 Pitch 	 Yaw 	 Thrust
1399582908306671111	1520	1516	1926	1105
1399582908406959205	1520	1516	1926	1105
1399582908507195349	1520	1516	1926	1105
1399582908607452798	1520	1516	1926	1105
1399582908707698315	1520	1516	1926	1105
1399582908807972563	1520	1516	1926	1105
1399582908908207372	1520	1516	1926	1105
1399582909008479428	1520	1516	1926	1105
1399582909108723245	1520	1516	1926	1105
1399582909208984550	1520	1516	1926	1105
1399582909309244299	1520	1516	1926	1105
1399582909409499858	1520	1516	1926	1105
1399582909509750513	1520	1516	1926	1105
1399582909609990596	1520	1516	1926	1105
1399582909710232247	1520	1516	1926	1105
1399582909810478635	1520	1516	1926	1105
1399582909910702516	1520	1516	1926	1105
1399582910010928750	1520	1516	1926	1105
1399582910111192901	1520	1516	1926	1105
1399582910211432564	1520	1516	1926	1105
1399582910311651072	1520	1516	1926	1105
1399582910411881992	1520	1516	1926	1105
1399582910512142951	1520	1516	1926	1105
1399582910612385650	1520	1516	1926	1105
1399582910712629140	1520	1516	1926	1105
1399582910812907142	1520	1516	1926	1105
1399582910913155823	1520	1516	1926	1105
1399582911013441944	1520	1516	1926	1105
1399582911113693538	1520	1516	1926	1105
1399582911213952698	1520	1516	1926	1105
1399582911314199918	1520	1516	1513	1105
1399582919874351019	1523	1518	1517	1378
1399582919894343086	1522	1518	1517	1378
1399582919909278628	1523	1518	1517	1378
1399582919924323013	1520	1521	1517	1378
1399582919939359586	1521	1516	1517	1379
1399582919959387304	1525	1520	1517	1434
1399582919984375049	1524	1519	1517	1380
1399582920004431907	1523	1517	1517	1380
1399582920014398998	1523	1517	1517	1380
1399582920034455712	1518	1518	1517	1380
1399582920059296936	1525	1517	1517	1434
1399582920089420715	1526	1516	1517	1382
1399582920124418781	1524	1516	1517	1382
1399582920149196065	1527	1516	1517	1382
1399582920164459613	1526	1518	1517	1385
1399582920184443645	1523	1518	1517	1384
1399582920199443258	1527	1519	1517	1384
1399582920214269402	1525	1519	1517	1384
1399582920234357375	1526	1518	1517	1384
1399582920249296178	1527	1514	1517	1385
1399582920274155794	1524	1518	1517	1386
1399582920304335895	1523	1513	1517	1386
1399582920314208192	1523	1515	1517	1385
1399582920339286967	1526	1516	1517	1386
1399582920374341706	1525	1517	1517	1388
1399582920394213426	1529	1517	1517	1388
1399582920409195112	1526	1515	1517	1387
1399582920434272719	1525	1519	1517	1388
1399582920449395396	1524	1518	1517	1387
1399582920464427965	1526	1520	1517	1390
1399582920484400648	1526	1519	1517	1390
1399582920509376352	1524	1519	1517	1389
1399582920539426143	1526	1518	1517	1389
1399582920559335958	1527	1520	1517	1434
1399582920589403311	1516	1510	1517	1391
1399582920599203962	1517	1516	1517	1390
1399582920624440318	1515	1514	1517	1388
1399582920644397470	1515	1510	1517	1388
1399582920659354639	1517	1515	1517	1435
1399582920674345406	1511	1521	1517	1387
1399582920694390499	1514	1518	1517	1386
1399582920709374110	1519	1505	1517	1386
1399582920724394577	1513	1503	1517	1386
1399582920749372748	1515	1499	1517	1384
1399582920759276963	1517	1507	1517	1382
1399582920789246880	1502	1517	1517	1383
1399582920809429175	1514	1517	1517	1381
1399582920834342282	1496	1527	1517	1378
1399582920854353806	1516	1523	1517	1379
1399582920874404416	1523	1509	1517	1435
1399582920894368570	1497	1518	1517	1379
1399582920909282963	1522	1514	1517	1378
1399582920939302021	1493	1514	1517	1375
1399582920949375638	1508	1531	1517	1375
1399582920964206723	1500	1512	1516	1378
1399582920984376697	1499	1506	1516	1377
1399582920999211002	1489	1499	1516	1378
1399582921014373982	1489	1489	1516	1376
1399582921039407507	1503	1503	1516	1375
1399582921059177615	1496	1495	1516	1374
1399582921089313728	1488	1511	1515	1374
1399582921109261910	1499	1505	1515	1373
1399582921124347086	1489	1509	1515	1373
1399582921154344899	1500	1510	1515	1373
1399582921164485451	1501	1505	1515	1376
1399582921184333395	1487	1512	1515	1374
1399582921199335366	1523	1501	1515	1373
1399582921224353127	1491	1514	1515	1374
1399582921239267416	1506	1521	1515	1373
1399582921264295380	1512	1521	1514	1436
1399582921289349028	1520	1513	1514	1375
1399582921309328068	1503	1523	1514	1376
1399582921339349729	1519	1524	1514	1375
1399582921354343610	1514	1507	1514	1375
1399582921374379964	1509	1496	1514	1377
1399582921389338728	1516	1506	1514	1377
1399582921409333223	1517	1499	1514	1377
1399582921424455740	1512	1505	1513	1379
1399582921439329771	1510	1499	1513	1377
1399582921459427749	1520	1501	1513	1378
1399582921489351848	1516	1513	1513	1378
1399582921509333876	1516	1519	1513	1377
1399582921534333083	1515	1506	1513	1379
1399582921554398604	1533	1521	1513	1377
1399582921574384347	1524	1518	1513	1436
1399582921604405928	1524	1516	1513	1380
1399582921614402161	1524	1519	1513	1381
1399582921634423041	1523	1521	1513	1381
1399582921649325297	1542	1511	1513	1382
1399582921674350327	1527	1514	1513	1436
1399582921694377214	1526	1517	1513	1384
1399582921709306875	1526	1512	1513	1384
1399582921724378217	1542	1509	1513	1383
1399582921739305669	1531	1511	1514	1383
1399582921759341816	1542	1505	1513	1383
1399582921774335563	1522	1518	1513	1386
1399582921799362374	1527	1524	1513	1385
1399582921824409995	1531	1520	1513	1385
1399582921849403327	1527	1504	1513	1385
1399582921864342846	1516	1518	1513	1437
1399582921884464297	1535	1514	1513	1386
1399582921899427020	1535	1528	1513	1387
1399582921924418979	1528	1518	1513	1386
1399582921939371849	1522	1515	1513	1386
1399582921964151301	1534	1519	1513	1437
1399582921989365789	1538	1521	1513	1387
1399582922009398301	1522	1527	1513	1387
1399582922039397879	1529	1522	1513	1386
1399582922059396287	1524	1521	1513	1386
1399582922089410293	1523	1518	1513	1385
1399582922109421778	1527	1513	1513	1383
1399582922124351423	1526	1519	1513	1381
1399582922139343592	1511	1523	1513	1380
1399582922159326892	1517	1521	1513	1378
